go_id	name
GO:0000325	plant-type vacuole
GO:0000333	telomerase catalytic core complex
GO:0000338	protein deneddylation
GO:0000339	RNA cap binding
GO:0000340	RNA 7-methylguanosine cap binding
GO:0000346	transcription export complex
GO:0000347	THO complex
GO:0000349	generation of catalytic spliceosome for first transesterification step
GO:0000350	generation of catalytic spliceosome for second transesterification step
GO:0000373	Group II intron splicing
GO:0000375	RNA splicing, via transesterification reactions
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
GO:0000379	tRNA-type intron splice site recognition and cleavage
GO:0000380	alternative mRNA splicing, via spliceosome
GO:0000381	regulation of alternative mRNA splicing, via spliceosome
GO:0000386	second spliceosomal transesterification activity
GO:0000387	spliceosomal snRNP assembly
GO:0000389	mRNA 3'-splice site recognition
GO:0000390	spliceosomal complex disassembly
GO:0000395	mRNA 5'-splice site recognition
GO:0000398	mRNA splicing, via spliceosome
GO:0000400	four-way junction DNA binding
GO:0000403	Y-form DNA binding
GO:0000406	double-strand/single-strand DNA junction binding
GO:0000407	phagophore assembly site
GO:0000408	EKC/KEOPS complex
GO:0000413	protein peptidyl-prolyl isomerization
GO:0000417	HIR complex
GO:0000418	RNA polymerase IV complex
GO:0000419	RNA polymerase V complex
GO:0000421	autophagosome membrane
GO:0000422	autophagy of mitochondrion
GO:0000423	mitophagy
GO:0000425	pexophagy
GO:0000427	plastid-encoded plastid RNA polymerase complex
GO:0000428	DNA-directed RNA polymerase complex
GO:0000439	transcription factor TFIIH core complex
GO:0000444	MIS12/MIND type complex
GO:0000445	THO complex part of transcription export complex
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000448	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000454	snoRNA guided rRNA pseudouridine synthesis
GO:0000455	enzyme-directed rRNA pseudouridine synthesis
GO:0000460	maturation of 5.8S rRNA
GO:0000461	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000470	maturation of LSU-rRNA
GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000481	maturation of 5S rRNA
GO:0000488	maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)
GO:0000489	maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)
GO:0000491	small nucleolar ribonucleoprotein complex assembly
GO:0000492	box C/D snoRNP assembly
GO:0000493	box H/ACA snoRNP assembly
GO:0000494	box C/D sno(s)RNA 3'-end processing
GO:0000495	box H/ACA sno(s)RNA 3'-end processing
GO:0000500	RNA polymerase I upstream activating factor complex
GO:0000502	proteasome complex
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
GO:0000578	embryonic axis specification
GO:0000701	purine-specific mismatch base pair DNA N-glycosylase activity
GO:0000703	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity
GO:0000706	meiotic DNA double-strand break processing
GO:0000707	meiotic DNA recombinase assembly
GO:0000709	meiotic joint molecule formation
GO:0000710	meiotic mismatch repair
GO:0000712	resolution of meiotic recombination intermediates
GO:0000719	photoreactive repair
GO:0000722	telomere maintenance via recombination
GO:0000723	telomere maintenance
GO:0000724	double-strand break repair via homologous recombination
GO:0000725	recombinational repair
GO:0000727	double-strand break repair via break-induced replication
GO:0000729	DNA double-strand break processing
GO:0000730	DNA recombinase assembly
GO:0000731	DNA synthesis involved in DNA repair
GO:0000741	karyogamy
GO:0000773	phosphatidyl-N-methylethanolamine N-methyltransferase activity
GO:0000774	adenyl-nucleotide exchange factor activity
GO:0000775	chromosome, centromeric region
GO:0000776	kinetochore
GO:0000779	condensed chromosome, centromeric region
GO:0000781	chromosome, telomeric region
GO:0000783	nuclear telomere cap complex
GO:0000785	chromatin
GO:0000786	nucleosome
GO:0000791	euchromatin
GO:0000792	heterochromatin
GO:0000793	condensed chromosome
GO:0000794	condensed nuclear chromosome
GO:0000795	synaptonemal complex
GO:0000796	condensin complex
GO:0000811	GINS complex
GO:0000812	Swr1 complex
GO:0000813	ESCRT I complex
GO:0000814	ESCRT II complex
GO:0000815	ESCRT III complex
GO:0000819	sister chromatid segregation
GO:0000822	inositol hexakisphosphate binding
GO:0000828	inositol hexakisphosphate kinase activity
GO:0000836	Hrd1p ubiquitin ligase complex
GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex
GO:0000902	cell morphogenesis
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity
GO:0000911	cytokinesis by cell plate formation
GO:0000914	phragmoplast assembly
GO:0000919	cell plate assembly
GO:0000922	spindle pole
GO:0000923	equatorial microtubule organizing center
GO:0000930	gamma-tubulin complex
GO:0000931	gamma-tubulin ring complex
GO:0000932	P-body
GO:0000938	GARP complex
GO:0000940	outer kinetochore
GO:0000949	GO:0000949
GO:0000956	nuclear-transcribed mRNA catabolic process
GO:0000957	mitochondrial RNA catabolic process
GO:0000958	mitochondrial mRNA catabolic process
GO:0000959	mitochondrial RNA metabolic process
GO:0000963	mitochondrial RNA processing
GO:0000965	mitochondrial RNA 3'-end processing
GO:0000967	rRNA 5'-end processing
GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0000973	post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0000974	Prp19 complex
GO:0000976	transcription cis-regulatory region binding
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0000987	cis-regulatory region sequence-specific DNA binding
GO:0000992	RNA polymerase III cis-regulatory region sequence-specific DNA binding
GO:0000993	RNA polymerase II complex binding
GO:0000994	RNA polymerase III core binding
GO:0000995	RNA polymerase III general transcription initiation factor activity
GO:0001002	RNA polymerase III type 1 promoter sequence-specific DNA binding
GO:0001003	RNA polymerase III type 2 promoter sequence-specific DNA binding
GO:0001006	RNA polymerase III type 3 promoter sequence-specific DNA binding
GO:0001042	RNA polymerase I core binding
GO:0001046	core promoter sequence-specific DNA binding
GO:0001067	transcription regulatory region nucleic acid binding
GO:0001091	RNA polymerase II general transcription initiation factor binding
GO:0001096	TFIIF-class transcription factor complex binding
GO:0001097	TFIIH-class transcription factor complex binding
GO:0001113	transcription open complex formation at RNA polymerase II promoter
GO:0001156	TFIIIC-class transcription factor complex binding
GO:0001164	RNA polymerase I core promoter sequence-specific DNA binding
GO:0001181	RNA polymerase I general transcription initiation factor activity
GO:0001188	RNA polymerase I preinitiation complex assembly
GO:0001193	maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II
GO:0001216	DNA-binding transcription activator activity
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific
GO:0001401	SAM complex
GO:0001405	PAM complex, Tim23 associated import motor
GO:0001510	RNA methylation
GO:0001522	pseudouridine synthesis
GO:0001558	regulation of cell growth
GO:0001561	fatty acid alpha-oxidation
GO:0001578	microtubule bundle formation
GO:0001650	fibrillar center
GO:0001653	peptide receptor activity
GO:0001659	temperature homeostasis
GO:0001664	G protein-coupled receptor binding
GO:0001666	response to hypoxia
GO:0001671	ATPase activator activity
GO:0001676	long-chain fatty acid metabolic process
GO:0001678	intracellular glucose homeostasis
GO:0001680	tRNA 3'-terminal CCA addition
GO:0001682	tRNA 5'-leader removal
GO:0001708	cell fate specification
GO:0001709	cell fate determination
GO:0001727	lipid kinase activity
GO:0001729	ceramide kinase activity
GO:0001731	formation of translation preinitiation complex
GO:0001732	formation of cytoplasmic translation initiation complex
GO:0001735	prenylcysteine oxidase activity
GO:0001758	retinal dehydrogenase (NAD+) activity
GO:0001763	morphogenesis of a branching structure
GO:0001786	phosphatidylserine binding
GO:0001881	receptor recycling
GO:0001934	positive regulation of protein phosphorylation
GO:0002058	uracil binding
GO:0002084	protein depalmitoylation
GO:0002097	tRNA wobble base modification
GO:0002098	tRNA wobble uridine modification
GO:0002100	tRNA wobble adenosine to inosine editing
GO:0002101	tRNA wobble cytosine modification
GO:0002128	tRNA nucleoside ribose methylation
GO:0002131	wobble position cytosine ribose methylation
GO:0002132	wobble position uridine ribose methylation
GO:0002138	retinoic acid biosynthetic process
GO:0002143	tRNA wobble position uridine thiolation
GO:0002144	cytosolic tRNA wobble base thiouridylase complex
GO:0002151	G-quadruplex RNA binding
GO:0002161	aminoacyl-tRNA deacylase activity
GO:0002181	cytoplasmic translation
GO:0002182	cytoplasmic translational elongation
GO:0002183	cytoplasmic translational initiation
GO:0002184	cytoplasmic translational termination
GO:0002188	translation reinitiation
GO:0002189	ribose phosphate diphosphokinase complex
GO:0002191	cap-dependent translational initiation
GO:0002196	Ser-tRNA(Ala) deacylase activity
GO:0002215	defense response to nematode
GO:0002221	pattern recognition receptor signaling pathway
GO:0002229	defense response to oomycetes
GO:0002237	response to molecule of bacterial origin
GO:0002238	response to molecule of fungal origin
GO:0002239	response to oomycetes
GO:0002376	immune system process
GO:0002831	regulation of response to biotic stimulus
GO:0002926	tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation
GO:0002938	tRNA guanine ribose methylation
GO:0002939	tRNA N1-guanine methylation
GO:0002940	tRNA N2-guanine methylation
GO:0002943	tRNA dihydrouridine synthesis
GO:0002949	tRNA threonylcarbamoyladenosine modification
GO:0002953	5'-deoxynucleotidase activity
GO:0003002	regionalization
GO:0003006	developmental process involved in reproduction
GO:0003032	detection of oxygen
GO:0003333	amino acid transmembrane transport
GO:0003400	GO:0003400
GO:0003674	molecular_function
GO:0003676	nucleic acid binding
GO:0003677	DNA binding
GO:0003678	DNA helicase activity
GO:0003680	minor groove of adenine-thymine-rich DNA binding
GO:0003681	bent DNA binding
GO:0003682	chromatin binding
GO:0003684	damaged DNA binding
GO:0003688	DNA replication origin binding
GO:0003689	DNA clamp loader activity
GO:0003690	double-stranded DNA binding
GO:0003691	double-stranded telomeric DNA binding
GO:0003697	single-stranded DNA binding
GO:0003700	DNA-binding transcription factor activity
GO:0003711	transcription elongation factor activity
GO:0003712	transcription coregulator activity
GO:0003713	transcription coactivator activity
GO:0003714	transcription corepressor activity
GO:0003723	RNA binding
GO:0003724	RNA helicase activity
GO:0003725	double-stranded RNA binding
GO:0003726	double-stranded RNA adenosine deaminase activity
GO:0003727	single-stranded RNA binding
GO:0003729	mRNA binding
GO:0003730	mRNA 3'-UTR binding
GO:0003735	structural constituent of ribosome
GO:0003743	translation initiation factor activity
GO:0003746	translation elongation factor activity
GO:0003747	translation release factor activity
GO:0003755	peptidyl-prolyl cis-trans isomerase activity
GO:0003756	protein disulfide isomerase activity
GO:0003774	cytoskeletal motor activity
GO:0003777	microtubule motor activity
GO:0003779	actin binding
GO:0003785	actin monomer binding
GO:0003824	catalytic activity
GO:0003825	alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity
GO:0003827	alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
GO:0003830	beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity
GO:0003837	beta-ureidopropionase activity
GO:0003838	sterol 24-C-methyltransferase activity
GO:0003839	gamma-glutamylcyclotransferase activity
GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity
GO:0003842	L-glutamate gamma-semialdehyde dehydrogenase activity
GO:0003843	1,3-beta-D-glucan synthase activity
GO:0003844	1,4-alpha-glucan branching enzyme activity
GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity
GO:0003852	2-isopropylmalate synthase activity
GO:0003854	3-beta-hydroxy-Delta5-steroid dehydrogenase (NAD+) activity
GO:0003855	3-dehydroquinate dehydratase activity
GO:0003856	3-dehydroquinate synthase activity
GO:0003857	(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity
GO:0003858	3-hydroxybutyrate dehydrogenase activity
GO:0003860	3-hydroxyisobutyryl-CoA hydrolase activity
GO:0003861	3-isopropylmalate dehydratase activity
GO:0003862	3-isopropylmalate dehydrogenase activity
GO:0003863	branched-chain 2-oxo acid dehydrogenase activity
GO:0003864	3-methyl-2-oxobutanoate hydroxymethyltransferase activity
GO:0003865	3-oxo-5-alpha-steroid 4-dehydrogenase activity
GO:0003866	3-phosphoshikimate 1-carboxyvinyltransferase activity
GO:0003868	4-hydroxyphenylpyruvate dioxygenase activity
GO:0003871	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity
GO:0003872	6-phosphofructokinase activity
GO:0003873	6-phosphofructo-2-kinase activity
GO:0003876	AMP deaminase activity
GO:0003878	ATP citrate synthase activity
GO:0003879	ATP phosphoribosyltransferase activity
GO:0003881	CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity
GO:0003882	CDP-diacylglycerol-serine O-phosphatidyltransferase activity
GO:0003883	CTP synthase activity
GO:0003885	D-arabinono-1,4-lactone oxidase activity
GO:0003886	DNA (cytosine-5-)-methyltransferase activity
GO:0003887	DNA-directed DNA polymerase activity
GO:0003899	DNA-directed RNA polymerase activity
GO:0003904	deoxyribodipyrimidine photo-lyase activity
GO:0003905	alkylbase DNA N-glycosylase activity
GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity
GO:0003910	DNA ligase (ATP) activity
GO:0003913	DNA photolyase activity
GO:0003914	DNA (6-4) photolyase activity
GO:0003916	DNA topoisomerase activity
GO:0003917	DNA topoisomerase type I (single strand cut, ATP-independent) activity
GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
GO:0003919	FMN adenylyltransferase activity
GO:0003921	GMP synthase activity
GO:0003923	GPI-anchor transamidase activity
GO:0003924	GTPase activity
GO:0003925	G protein activity
GO:0003933	GTP cyclohydrolase activity
GO:0003934	GTP cyclohydrolase I activity
GO:0003935	GTP cyclohydrolase II activity
GO:0003937	IMP cyclohydrolase activity
GO:0003938	IMP dehydrogenase activity
GO:0003941	L-serine ammonia-lyase activity
GO:0003942	N-acetyl-gamma-glutamyl-phosphate reductase activity
GO:0003948	N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity
GO:0003949	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity
GO:0003950	NAD+ poly-ADP-ribosyltransferase activity
GO:0003951	NAD+ kinase activity
GO:0003952	NAD+ synthase (glutamine-hydrolyzing) activity
GO:0003954	NADH dehydrogenase activity
GO:0003955	NAD(P)H dehydrogenase (quinone) activity
GO:0003958	NADPH-hemoprotein reductase activity
GO:0003959	NADPH dehydrogenase activity
GO:0003960	quinone reductase (NADPH) activity
GO:0003962	cystathionine gamma-synthase activity
GO:0003964	RNA-directed DNA polymerase activity
GO:0003968	RNA-directed RNA polymerase activity
GO:0003972	RNA ligase (ATP) activity
GO:0003973	(S)-2-hydroxy-acid oxidase activity
GO:0003975	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity
GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity
GO:0003978	UDP-glucose 4-epimerase activity
GO:0003979	UDP-glucose 6-dehydrogenase activity
GO:0003980	UDP-glucose:glycoprotein glucosyltransferase activity
GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity
GO:0003984	acetolactate synthase activity
GO:0003985	acetyl-CoA C-acetyltransferase activity
GO:0003986	acetyl-CoA hydrolase activity
GO:0003987	acetyl-CoA synthetase activity
GO:0003988	acetyl-CoA C-acyltransferase activity
GO:0003989	acetyl-CoA carboxylase activity
GO:0003991	acetylglutamate kinase activity
GO:0003992	N2-acetyl-L-ornithine:2-oxoglutarate 5-transaminase activity
GO:0003993	acid phosphatase activity
GO:0003994	aconitate hydratase activity
GO:0003995	acyl-CoA dehydrogenase activity
GO:0003997	acyl-CoA oxidase activity
GO:0003998	acylphosphatase activity
GO:0003999	adenine phosphoribosyltransferase activity
GO:0004000	adenosine deaminase activity
GO:0004001	adenosine kinase activity
GO:0004013	adenosylhomocysteinase activity
GO:0004014	adenosylmethionine decarboxylase activity
GO:0004015	S-adenosyl-L-methionine:8-amino-7-oxononanoate transaminase activity
GO:0004017	AMP kinase activity
GO:0004018	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity
GO:0004019	adenylosuccinate synthase activity
GO:0004020	adenylylsulfate kinase activity
GO:0004021	L-alanine:2-oxoglutarate transaminase activity
GO:0004022	alcohol dehydrogenase (NAD+) activity
GO:0004029	aldehyde dehydrogenase (NAD+) activity
GO:0004032	aldose reductase (NADPH) activity
GO:0004034	aldose 1-epimerase activity
GO:0004038	allantoinase activity
GO:0004042	L-glutamate N-acetyltransferase activity, acting on acetyl-CoA as donor
GO:0004044	amidophosphoribosyltransferase activity
GO:0004045	peptidyl-tRNA hydrolase activity
GO:0004046	aminoacylase activity
GO:0004047	aminomethyltransferase activity
GO:0004048	anthranilate phosphoribosyltransferase activity
GO:0004049	anthranilate synthase activity
GO:0004050	apyrase activity
GO:0004053	arginase activity
GO:0004055	argininosuccinate synthase activity
GO:0004056	argininosuccinate lyase activity
GO:0004057	arginyl-tRNA--protein transferase activity
GO:0004059	aralkylamine N-acetyltransferase activity
GO:0004061	arylformamidase activity
GO:0004066	asparagine synthase (glutamine-hydrolyzing) activity
GO:0004067	asparaginase activity
GO:0004069	L-aspartate:2-oxoglutarate transaminase activity
GO:0004070	aspartate carbamoyltransferase activity
GO:0004072	aspartate kinase activity
GO:0004073	aspartate-semialdehyde dehydrogenase activity
GO:0004075	biotin carboxylase activity
GO:0004076	biotin synthase activity
GO:0004077	biotin--[biotin carboxyl-carrier protein] ligase activity
GO:0004081	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity
GO:0004084	branched-chain-amino-acid:2-oxoglutarate transaminase activity
GO:0004087	carbamoyl-phosphate synthase (ammonia) activity
GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
GO:0004089	carbonate dehydratase activity
GO:0004096	catalase activity
GO:0004097	catechol oxidase activity
GO:0004103	choline kinase activity
GO:0004105	choline-phosphate cytidylyltransferase activity
GO:0004106	chorismate mutase activity
GO:0004107	chorismate synthase activity
GO:0004109	coproporphyrinogen oxidase activity
GO:0004113	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity
GO:0004124	cysteine synthase activity
GO:0004126	cytidine deaminase activity
GO:0004128	cytochrome-b5 reductase activity, acting on NAD(P)H
GO:0004129	cytochrome-c oxidase activity
GO:0004132	dCMP deaminase activity
GO:0004134	4-alpha-glucanotransferase activity
GO:0004140	dephospho-CoA kinase activity
GO:0004141	dethiobiotin synthase activity
GO:0004142	diacylglycerol cholinephosphotransferase activity
GO:0004143	ATP-dependent diacylglycerol kinase activity
GO:0004144	diacylglycerol O-acyltransferase activity
GO:0004146	dihydrofolate reductase activity
GO:0004148	dihydrolipoyl dehydrogenase (NADH) activity
GO:0004149	dihydrolipoyllysine-residue succinyltransferase activity
GO:0004150	dihydroneopterin aldolase activity
GO:0004151	dihydroorotase activity
GO:0004156	dihydropteroate synthase activity
GO:0004157	dihydropyrimidinase activity
GO:0004160	dihydroxy-acid dehydratase activity
GO:0004161	dimethylallyltranstransferase activity
GO:0004163	diphosphomevalonate decarboxylase activity
GO:0004164	diphthine synthase activity
GO:0004165	delta(3)-delta(2)-enoyl-CoA isomerase activity
GO:0004167	dopachrome isomerase activity
GO:0004168	dolichol kinase activity
GO:0004170	dUTP diphosphatase activity
GO:0004174	electron-transferring-flavoprotein dehydrogenase activity
GO:0004175	endopeptidase activity
GO:0004176	ATP-dependent peptidase activity
GO:0004177	aminopeptidase activity
GO:0004180	carboxypeptidase activity
GO:0004181	metallocarboxypeptidase activity
GO:0004185	serine-type carboxypeptidase activity
GO:0004190	aspartic-type endopeptidase activity
GO:0004197	cysteine-type endopeptidase activity
GO:0004198	calcium-dependent cysteine-type endopeptidase activity
GO:0004222	metalloendopeptidase activity
GO:0004239	initiator methionyl aminopeptidase activity
GO:0004252	serine-type endopeptidase activity
GO:0004298	threonine-type endopeptidase activity
GO:0004300	enoyl-CoA hydratase activity
GO:0004301	epoxide hydrolase activity
GO:0004305	ethanolamine kinase activity
GO:0004306	ethanolamine-phosphate cytidylyltransferase activity
GO:0004307	ethanolaminephosphotransferase activity
GO:0004309	exopolyphosphatase activity
GO:0004311	geranylgeranyl diphosphate synthase activity
GO:0004314	[acyl-carrier-protein] S-malonyltransferase activity
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity
GO:0004316	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity
GO:0004318	enoyl-[acyl-carrier-protein] reductase (NADH) activity
GO:0004322	ferroxidase activity
GO:0004324	ferredoxin-NADP+ reductase activity
GO:0004325	protoporphyrin ferrochelatase activity
GO:0004326	tetrahydrofolylpolyglutamate synthase activity
GO:0004329	formate-tetrahydrofolate ligase activity
GO:0004331	fructose-2,6-bisphosphate 2-phosphatase activity
GO:0004332	fructose-bisphosphate aldolase activity
GO:0004333	fumarate hydratase activity
GO:0004334	fumarylacetoacetase activity
GO:0004335	galactokinase activity
GO:0004337	(2E,6E)-farnesyl diphosphate synthase activity
GO:0004340	glucokinase activity
GO:0004343	glucosamine 6-phosphate N-acetyltransferase activity
GO:0004345	glucose-6-phosphate dehydrogenase activity
GO:0004347	glucose-6-phosphate isomerase activity
GO:0004348	glucosylceramidase activity
GO:0004349	glutamate 5-kinase activity
GO:0004350	glutamate-5-semialdehyde dehydrogenase activity
GO:0004351	glutamate decarboxylase activity
GO:0004352	L-glutamate dehydrogenase (NAD+) activity
